id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
8458678801165197,tx,c92bf428c9cd8ad6fb3bfc24e806e062fdaaaea3a6ba4992406b5cb309fd68f0,87616,000000000015372324d7f212f1dd72b3722e68dfef6f7e058c26b0112021710d,0,1,5000000000,1,5000000000,134783
2471559307649634,tx,8cbf729f62f43f5eaa047f96323b3d1c4b15663c12feba1668131397f4f53e46,87651,00000000001d95ed6641ba52d764989fc01ff823aaafd359888d42ebaa959ff8,0,1,5000000000,1,5000000000,134853
3268995172733328,tx,9f0addef30db17bb1e2ba96b9e7b07dc8eac33e58173c10373818c580012e95c,87802,000000000009ccd974cc98a7fa58414827a200409270f42b4c94af658c9a34bf,0,1,2409000000,2,2409000000,135198
coinbase87832,coinbase,"",-1,"",0,0,0,1,5000000000,-1
4621105871028791,tx,d5c4f47ca11e601c532843f11201ba1b24a78a794eb1ebc9fcbe114c6ff85683,87862,00000000000b90d0a42b750f7d93cc5f758b12f02fd2d310bb1d6c428d79f32f,0,1,5000000000,1,5000000000,135333
8688118225852404,tx,4613913a105bc386c86dae52126088c2c6d667f98a79e901daa4bff24461eef6,87883,00000000001bee2005c46cf468b1a03464ce711f7ecaa46eb331f65fe13f538a,0,1,5000000000,1,5000000000,135393
1499929326230265,tx,232ae852e4dfe9340c2bbc8fbe9279d5cbcb3d4ef9f188f781ced76c156ca12a,87883,00000000001bee2005c46cf468b1a03464ce711f7ecaa46eb331f65fe13f538a,0,1,43000000,2,43000000,135394
1934907380337870,tx,40a74510dc31b37e5f01832fffbdd86cfe89f1ed7b9ed2a6fa7666a0d84dfe36,87915,00000000000441b9d6dbba1a48289ebf0f777335d7609937670f38615811613a,0,1,5000000000,1,5000000000,135507
coinbase88115,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase88127,coinbase,"",-1,"",0,0,0,1,5000000000,-1
4396615230399233,tx,c19f6cfc81cbf23aa25ab1997c96206faf2a348748fcb2a4190e182d0896f57c,88133,0000000000171af8a01931c236e274c5aafff417ff18e30145f6161226f5605e,0,1,54800000000,2,54800000000,136035
7869880347659612,tx,578e35ed97e18057e8cfbbf53bbd4eeabcda78d3c34ca2c5d9e06a6074eaacdf,88145,0000000000194fe617f7f04ebc710faab40165d1808faa6820e26328400e1b32,0,1,50000000,2,50000000,136057
5463751330686484,tx,938559e76c0eaa32b1a6d61cddfcae8cd08c70cfe5a95b7f0ca730a7e9054a9b,88151,00000000001ac59e3d601cf84fb238c3b05344e2d6205799a9f48d6aba1e4158,0,1,5000000000,1,5000000000,136084
coinbase88207,coinbase,"",-1,"",0,0,0,1,5000000000,-1
6631116293833541,tx,548173532f2d0c5f1502cf064fe3c67ce3ba6ff059b9fe5f802c1a4499b877bc,88339,00000000001cd15367b0af7dc6ccebe9f6ce8f7b92833273d407139ce80d0332,0,1,5000000000,1,5000000000,136453
1961017331497055,tx,33cfb2ba64f112d6f9a2a183f31c3af2a41a35bd2679db1075ffc2896b47bc37,88441,0000000000147e5d945bef87e0f2e539f89db5bc97f348b312e106f69b88ef8f,0,1,200000000000,1,200000000000,136686
coinbase88515,coinbase,"",-1,"",0,0,0,1,5000000000,-1
UTXO36626,UTXO,"",-1,"",0,1,5000000000,0,0,-1
