id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output
coinbase100000,coinbase,,-1,,0,0,0,1,5000000000
4764983090866501,tx,8c14f0db3df150123e6f3dbbf30f8b955a8249b62ac1d1ff16284aefa3d06d87,100000,000000000003ba27aa200b1cecaad478d2b00432346c3f1f3986da1afd33e506,0,1,5000000000,1,5000000000
6896493393222575,tx,fff2525b8931402dd09222c50775608f75787bd2b87e56995a7bdd30f79702c4,100000,000000000003ba27aa200b1cecaad478d2b00432346c3f1f3986da1afd33e506,0,1,5000000000,2,5000000000
6911274329242193,tx,6359f0868171b1d194cbee1af2f16ea598ae8fad666d9b012c8ed2b79a236ec4,100000,000000000003ba27aa200b1cecaad478d2b00432346c3f1f3986da1afd33e506,0,1,300000000,2,300000000
1022094957881939,tx,e9a66845e05d5abc0ad04ec80f774a7e585c6e8db975962d069a522137b80c1d,100000,000000000003ba27aa200b1cecaad478d2b00432346c3f1f3986da1afd33e506,0,1,1000000,1,1000000
