Source,Target,src_position,dst_position,address,value,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
4604710417419476,UTXO10321,0,-1,1FWNfhihi8Q2QMFzvypVAL9fqapA9Wz79s,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4857723205448628,8027679296728644,0,571,1G1YuRWbH6bKtnGhyo1gibbTP5dFWdPJPf,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
3944393798821338,5223129689564068,0,77,1JZZsN4tcLB4tochVHZjUrAsmac738m6C,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2890571108656637,4174879560847266,0,71,1Njzwfu28V6nRwc5CaPhKNdAAdtdYRaJUN,5000000000,tx,802bacb808d7d00d685575714b2128e4e5ccf3ccebb8ef61c1ee2f0941ac2752,14002,000000001e4c88a360df5e1f5b4f0b91676dc552acb2343f71068d4b464801f7,0,1,5000000000,1,5000000000,14116
2395213005371885,UTXO11257,0,-1,1FbZ9PoNRohjCBWxE9pq831fFXcEkUnLwe,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
6554898108411757,UTXO11287,0,-1,1CPzehRXLkeQ52PoMkm8jx8tVYpQ3tWWZA,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
6372693244961370,808785231744161,0,47,1JoMSZp422CDBDw7LFxQS6XtyF5cDeZ7kN,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
6215855543470543,UTXO11914,0,-1,1M6qeSARj7ZyL8f95zjSvr6kDqvr4KKtpr,5000000000,tx,3d977df362bb7feaee985fd62077fa5472838972806e0e70807a4e262d4daab0,14975,000000009734aa8f90ce0b05c6068b6d694871382fc184cebb9c7aa2436b8700,0,1,5000000000,1,5000000000,15099
8528022531278612,UTXO11926,0,-1,1KuQRaXtNuMNVfVqvHJ4XfXsGr4eJreNGh,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4830396793909713,UTXO12002,0,-1,13L9hLg9kV3wfNJKKTkENHTz79MWJ2mzuS,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1631809555030815,UTXO12314,0,-1,1Cy1im3KvjgQBot2jyR3aSpn79vzaotd8x,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
coinbase15733,8865041547129950,4294967295,0,coinbase15733,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2494556758688295,UTXO12749,0,-1,1EA6PBfrL1nzx9B5KkeGYbkUfyHEsqPL3z,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
8041467768016890,UTXO13317,0,-1,17sNbUfNysaaWKssPVQv3kqS2gpYVCFjFg,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
coinbase16862,1347328472047939,4294967295,0,coinbase16862,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4709805073822445,UTXO14158,0,-1,1DznsRboJr4rUWe6X5dXAbWK5qCZQXpBsG,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2477221231118119,UTXO14353,0,-1,18GzG5khyjusHDFwbEiZ67N6NdcXunJpuV,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1004880029120990,UTXO14405,0,-1,14spi4DHkqA2xhomzv36GJykPwdMVEJ3BL,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2930860451431261,UTXO14542,0,-1,12YtwbLmMxRk22DS5VqHbXqcRjQRc9xrUo,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
7871721567643960,UTXO14667,0,-1,13w9SRZYyKvmd4NuotB8rAiHZvpDF2ZGLt,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4294626570606491,UTXO14763,0,-1,14Y7K19UFNorcqF31B17Fk6qaaSKqbMnQB,5000000000,tx,60aaef4280435322524196277a24dde516d95af85e88ee2120dabc7859850f7a,18812,00000000c3684aaaaa251538f2cc693c356d1c6d1abd93a5304d1cf30c1deac2,0,1,5000000000,1,5000000000,18947
5013506501949605,2505939047138251,0,44,144KLAoA5SKcahCx8Nxe47bZyAMSjXDrE9,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
5936583562611319,3699185456386944,0,336,1J3bUyJy2hpxPFB6McNtBXRXBVDxNzuZXa,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2505939047138251,2731573618686173,1,0,18dBAAdfR23pioGd9VN1Ji1pgGoHBr8RBm,4940000000,unknown_tx,,-1,,0,0,0,0,0,-1
8137959157573834,66349520634460,0,85,1JwgE9qtGfEMHFCZPQtNCtyvNUsEuGGkmp,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1808010034935430,8027679296728644,0,257,1W6MGWgHmVP4rD2SC4BhZLdcMPs6Dq6iQ,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
3220403743981844,8027679296728644,0,403,1DUyBncibGuupXKPLrLCWMH5HpBxEZw13U,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
6754458827837436,4189228829717581,0,117,1C2GVpfGXToFke31Z2JYoierFboYRiT37W,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1407101369993061,3699185456386944,0,135,17DkkHw3FxJgA3r5RWFoEB25KXsJD34FHW,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
7038157960610725,9005740597368362,0,14,1HC7re9cE25mZ3x2TbnRA7y92cWaP9GrT7,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4143173212055790,1643850729443148,0,33,1BAruK5q4B1wqkCVfcsxpEaA1QeJjinLNR,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
5594008885327797,6061666672927602,0,6,1Jbx8H6NStM5zwWdQRSLNUqfad5Th5wkNB,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1179883192224658,3699185456386944,0,118,1FmHQoP2HoyjhULbuQ79bqLBRc2Gsve3dt,5000000000,tx,7e148d67d0e2c05151efdb8438f0bfca0f6c88c0d6bc94c512935c64b4c78821,27935,00000000dd7b7db4db825fa0dee947cb442ef66bb50ab3937ed3905e4a9c6656,0,1,5000000000,1,5000000000,28118
669179766440673,2030899742774946,0,9,1KAJZ5TgiS4qdWM5iq289XPWttwcmncqip,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
7389717179189497,3093098775484085,0,274,1EHLNrw3cr51Rpf8kPfREAtAetyE5TJKpZ,5000000000,tx,1c31640f4799eae7e9cfd77d8a11e574d90a6d9a92ccae5544cb47a6db4407d2,29424,0000000059def700bbee2f34d702f5647d430c2ae3a45508806b671bd31a1b99,0,1,5000000000,1,5000000000,29626
7086251985417154,3111898618718691,0,0,13ShwWP23hxQFNaKfGjPYqZeP7xUbf4WXV,5000000000,tx,8e43005a8203f330286c836c4f95160a23e0060cad7bd197f9129e09e34467c9,29846,00000000e1cebec536534ed1fd7428601fd55e030af9d1296a6e616683ea17fe,0,1,5000000000,1,5000000000,30056
5179763689086374,4502677024683444,0,218,15KPGdUvMWnJkduqBSxhUTHJWxaE3Mc8oe,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1870446854163847,8950246113487653,0,10,1C2qxhxqg8tJQ5VPvCnVKywp92YyFj9YEn,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
3124397281380924,6775069977804178,0,13,1GJHjUBC9EH6QJDkx3zyppiUeHYah3FRwR,5000000000,tx,c41f2c4ea080b885cbdedb15a4359cbc0ffaa24bc4e9088977e051c070fbcc58,31092,0000000051e22acdeb27f6c12a8e83f33a61f2a20850c3e73bae135273d04619,0,1,5000000000,1,5000000000,31309
3459216725084832,8012560411561171,0,101,1PXqNzCmgeDqtcQVmQFZibbgEPa3A3rTh9,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2616179689762563,7801039822964390,0,29,16GDQJBqsPAZ7j5zN76QyZ1mp34Pca4Rvw,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
8243786923441449,7801039822964390,0,143,1JdxwPcujhHTo1dkQtSRdsfgQ3wz5Gmomj,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1294113078001084,5989860347240212,0,46,1DeJkHfDGvXsofh44Cyv3MtWdiFCb5xiXA,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
3438146963718075,847718312587214,0,13,1RkXEEmRtU8Cmpy4ivch1skwfXYx4UsVu,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4586504660745659,1936034531666464,0,98,1CuEpTvVjSrMfK4U6QumXxg2gHkTiNodH3,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4733146341987216,847718312587214,0,21,1Ncr81hoicYEwDCrbnCpZwWu1qWqZM9dPn,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
6214034656158752,8967846311823714,0,205,1J3izdk4dtr66uXg4iWTvuPcCuiqKEamL5,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
