id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
4486316861723272,tx,3467cffb372c7132dfabe20238d63a73fb1e9a3dfbe408be164494245740827f,74894,000000000074f904e09a9eb3f64635e1d50b8c39ea96b22a8a0a019896c51476,0,1,5000000000,1,5000000000,104831
5886362166071812,tx,280f781131dc2b9385fc6d563b570f28fcd86354d933e1a7a522906cefeb4ca7,77425,000000000066e72f01ee00e6f582a7d228f312970a3fd98833d7b73aea15f41e,0,1,2120000000,2,2120000000,109847
2844568751290828,tx,d1c69d744eb0041ba742d3cbfac933f16e2ad5549ff0fee68b66cead2ff6d850,78885,00000000004ac05042843cc801f85b592cfd103241337d3a6db1a1e8c2abb8be,0,1,5000000000,1,5000000000,112695
1091109038841537,tx,6ba96735ccf8a5a39577ee01d1c31db97329920b6540baeeac0df65ef5dc021f,79666,00000000005a2eb68c18a3a176aa547899ca2ef86d8f5e8d36b8c1b310db6500,0,20,100000000000,1,100000000000,114369
3737123087874015,tx,e45503208e7a4861f64e7e2f9941f3ada4499883bfea1d5767fabe133126376a,80527,000000000007b0b8c9b9ae69e62db93169ec93424fcb97d3e45a48079e89debc,0,1,5000000000,1,5000000000,116117
5930027187350479,tx,444b87ba86be225d210d391884f973d997f530a44651b7a0b37a5e1560a08aa8,81164,0000000000469bcd822a748eebd5cbf0514bf0268aa94cc8998b37f769693368,0,1,20000000,2,20000000,117584
8525476903422772,tx,29a0e9a22bcf7b38134ae33640e9af7dc1982416fd2c66e1d6a559f432024ff2,82763,000000000009f9cb3f2a7bb5efd997dd632611042281abc7748dbfc304051328,0,1,9863000000,2,9863000000,122428
6713330258819651,tx,96d82c923d7f47ef79d0f1c2ab835827834cd77cedfad978781fd2b10ae8cdbe,83734,00000000001d8cdbd4c745cbc097db099c778331687b78ad658f5bdca298de67,0,1,5000000000,1,5000000000,125502
8564232119876081,tx,a887516934eee69de6b0ab1ef5551f5dad5841ab27ff9f5cd88ccf3b6afd68f3,84319,00000000002ecfaf7b3504aaf1c0925621f8d4cccffac6e4fdb8f2a6e809dcaf,0,1,5000000000,1,5000000000,126863
6714845768548562,tx,fa786921ca0299994aaa2a3413608bac78e9aaeefd67ccdd2690060ce6eed8be,84592,000000000028530a0bdc6641666e2312bc4cf6ddea302384a5dfe6ab6519b60c,0,1,6407000000,2,6407000000,127438
1819894421568866,tx,35c399428c3e367bd880c2bc9aef9754c5f3e8749d086a394515eb358479b933,86144,0000000000227a74d0ed158d454901f98cc8254577ab0f83a3871c2b2706bdb5,0,2,2000000,1,2000000,130509
6203065283464007,tx,350bb4c516fc1bd9680d15e6541d88776ada0e27b9752e6c993f5aea753d4db0,68447,00000000009d9a7eb2fde94349ae9935a57aba680e968b54435d1ab1b20c8de2,0,2,10000000000,1,10000000000,86138
5880645657439173,tx,349844669bb711a5c3b8e20f81856ebdfaa3f8d97057b370232d5eb11b5423a7,68922,0000000000242be154b3e8d156151e0f9a0ef10b24dd09752a61c4cdd396f8c0,0,2,10000000000,1,10000000000,87384
1940415037182684,tx,b50b75cc2c46c6d805238d9879f731827a54053a03e4149cb8e59610a8602637,70184,000000000083b922ef4a511beb98f0f533d24a1ec98c2a29c3a1defa609a7d87,0,1,798000000,2,798000000,91380
8558222853721746,tx,7ff8fa7580948442822aa27f886ee55127175f3319298649189174d648443df3,70645,0000000000eb0dc7445986fe5e69aef9c568b464d2d35a84522c49e6001c0ba0,0,6,40000000,1,40000000,93275
5878969073872328,tx,dc3d0f46d69d0adc37e2587214674fd21a443e11f80c109122406e593a2117a7,70857,0000000000ae091e5ee646236f9a4309fc46c7d0f8969fe3440076f0770188f3,0,1,5000000,1,5000000,94254
2077452154820050,tx,9182d36bea34fc4c5026495b7503a1bb2bfa6468c058513b9d90aece2d740b3b,70857,0000000000ae091e5ee646236f9a4309fc46c7d0f8969fe3440076f0770188f3,0,1,5000000,1,5000000,94268
1144445176758961,tx,cc7e4f236fe3d7f0d60863d844cb3a378d6355c196eb3901cf8d15ce41ef8620,70867,0000000000f33bff36a6fe49de64c985e4e14fa4dfbefc9769b298587025594c,0,1,5000000,1,5000000,94480
1593304378213847,tx,928dcd761c60c972fb2151f12bd30fc13fa4ac9437449a6942b82edcabd0482d,70868,0000000000519aabf7ca56345d4bbe1a8dcab02be862e325671609b5f9e8ef5d,0,1,5000000,1,5000000,94805
5339826978473096,tx,8e828c6825fa057ebd087f5b82ab696b498a57272586e402e74024b6d15ac497,70871,000000000009793ff489eb5188fa20e0a34ddf01f4319a822334bc6851fa5f73,0,1,5000000,1,5000000,95285
2688943462162353,tx,299b8d70b5d974f1c079f345da8cf56f15fcfa37a2ef0aee8b8bfd107fa36c4c,70879,0000000000af658662ff7c99ccb7594feb87fef5a33a4e705479b26eeed24d20,0,1,5000000,1,5000000,96954
815848836311237,tx,51633725af51131bb6373784ddb35ffd32629016b34cf6a03d2d46a1e0143017,71945,00000000001957395c41bd20b85966f524641d7b5237217dea57fd960fb6fb4e,0,1,500000000,1,500000000,98730
3923936636701573,tx,1418a2312f1d9994225f469990915fe4cf191a4b7293f92f602e5cd08a65866f,72725,00000000009218bb84f02aa793efadadec9bcb1e964105576fe3d694d9e7f06e,0,1,250000000,2,250000000,100569
6930521288286942,tx,be0c131071b9fb2b195fe2c2b1c90adbed5e8295cd5c2097f2f216f9db2dfac4,72735,00000000000bfaafcdb1aa121cffedbd35e3b474da171bb7704a9c3236de16c7,0,1,5000000000,1,5000000000,100586
6635557450309574,tx,8e2f10f8cee00c10fe1037bf25c26671cfd9384417e7d49d8e34feb2e50898bc,74122,000000000064709e2d9a1b0401e890265a24663433b0126f8c3e8cd8c0563626,0,2,22400000000,2,22400000000,103338
2082588419984168,tx,094f1cb8dc70830d88fbe429ba12047cd6bc524b20bfc610d24659e437d3303b,74150,0000000000736508b59918890b5811c901e6fda19517e74a9033d02750390ef7,0,40,200000000000,1,200000000000,103391
1832070337864690,tx,13d9852b1bac5c8982ec0bd7d535bc3c82292e3d8358275bdf901f89ed101234,76169,00000000007c2478927de2e2d14aa875ed6aa7ed39f0dcaa68064d50eb6065b5,0,40,200000000000,1,200000000000,107457
5498358829481253,tx,ea28dd6a7dbc43133e6cbad930219fbf937b10d0a95bc894572ce90767d3459c,76389,00000000003b80ef0087fec44d028eef1e9b50f9589f636d67a7c8f25ca6e647,0,1,40000000000,2,40000000000,107836
6852448289254089,tx,05bcbe6c7341993672c86ac54a7da79f92fd4582b4242c797b4f56fb901fc2c2,77233,00000000000bfd713a722abf95aea225faeb9947fccd3a34faf3a399dcf0090c,0,3,60000000000,1,60000000000,109347
6001240693017566,tx,ad3f7f56adeef6a49215f2518ed5c433a20b28e9ae4f92917ff65ec0ddc590aa,77738,00000000004207c88ca00bd17e95fdf5d9bcedd829e06ea3d55c8f90b36ca259,0,1,5000000000,1,5000000000,110532
1013118691140579,tx,596f2fd79b23150a38b06387ab72c36bbf8d6d9cf755f251c1181f9b9d68cb1c,79408,00000000003219cddb41be7d895dd930bbb3e177b258ff17f827df4ad1676f0c,0,1,5000000000,1,5000000000,113763
8618038838691638,tx,2170b413396715f9c1e8f938f96be59ecb5a3e8c1671733b3eb439203d7cf0f4,79840,00000000000579b9881479600c2b7020e218c9bdc89be818064899c5a7437df5,0,1,8935000000,2,8935000000,114811
6995087822571007,tx,cbbd1e7e195449896a9640315c8abfc7a9c5bb558d2489f0a1fb2fb266f6cfc6,81026,00000000002ca0dfbaae0b90647f6555da1f58b8ec1bc4e33ac0255aa513d00d,0,2,600000000,2,600000000,117070
267546013416129,tx,62b7dfdc3370ff96414a9eb18f7adf08d2f057eb1817197d480ed6b948a79a07,81165,000000000005e8ca1af52b31547cb145f01ee281d4769fbc72d560d447296736,0,5,828000000,2,828000000,117592
3482698802259694,tx,85b4d4dee8939e92ce096a76df1c621c443576c36388be48d27137bf07f8fb62,82108,00000000003b0abf72620ea683e9c43d6468eb2709107cc5474a7907906f4d78,0,16,120000000,1,120000000,120372
3659433839584151,tx,976a79070ec12df23270bece3b8f624601473ae245cf1f1948be1cb3b0e20168,82175,00000000000b2d6b53cb7062750957180547ab3ebbd99d5558460ca5b26dcac2,0,1,93000000,2,93000000,120494
144661604218676,tx,877ac4ad44443d1f564fa32262227905d19869d8b36644f62ea6b9413c8d1c04,82558,00000000003dcef4c566605f768d5ceda858b0a12bc067d8f132ece10359e4b8,0,1,10000000000,2,10000000000,121371
833040729081551,tx,dc359757df1b48dae2424a785d3a51f006e602dcf933f17ad07e36ec452bad17,82716,000000000027f0bc7ad2c20c7d00411d21f82f068f0ed2dce32c9909f0db9404,0,1,11828000000,2,11828000000,121927
3985434360387144,tx,ebd6bc17e794f1589a395a138c1e90039908b26c4f37125f3747b29cfad94571,82735,00000000001e62fd253b4b911418dfd9405c586128c1f211604290cdba24d79f,0,1,10963000000,2,10963000000,122141
2804136771874723,tx,3c0663777f5e80c63554816e776e1b43a77775863f5991b0821c7d83c1c7b24f,83155,000000000024c1d1c36c282c7370540da69e72398c03266523f5f2e21ead748e,0,1,1000000,1,1000000,123665
6851378822607030,tx,26d705e92f25ca3f0ffa1e09b8424d8a50571770ffef5c1cf2b4858b8757bac2,83190,000000000018bdf5128ee5e84076397cc0ca3ce8a95dfcd7ceab9fd787b056ca,0,2,2706000000,2,2706000000,123887
3501172068067842,tx,d74d452be68df04c1cce712e04f3979740d227957ad94f3bc51250512b618263,83309,000000000006fef586e2b68b2501070171f5d01a2b7652721f5a5d8abeae43c6,0,1,9799000000,2,9799000000,124320
7769991024143883,tx,2da4c41dd744c02bf2ac30ffbff7c74acb800bbdc894c3ed365970371720d6dc,83312,000000000014e2fded91b6bc2ef4b02d9db4a544a6537288dff9414c863fa0ae,0,2,2000000,1,2000000,124336
1047617385949186,tx,67e60b3b4e255815d909255d50494ab7203a0d5be5c5dceef6124033716bc61d,84029,0000000000090181953cfd62b90cb525e08baf8ffe27990bb5fd665fbba15eae,0,1,18357000000,2,18357000000,126162
coinbase85607,coinbase,,-1,,0,0,0,1,5000000000,-1
350803372206631,tx,0e164c0cbc603ee21a913cebb2ac3c724654142edcad15e9e23b5117336ef809,86116,000000000016f91ae73ec5623661e02020a95257a0a472b16939a2ded8b1cecc,0,1,6000000,2,6000000,130407
