src_id,dst_id,src_position,dst_position,address,value
8872487699841101,UTXO84,0,-1,15eCuQ4Kd25VDhtv9Pko6DL3tt1ACa3tR8,5000000000
1441797112327727,UTXO198,0,-1,1LKriCmDaBz4SfCoDjcjR1b9CmQTHibCcr,5000000000
8394616730226661,UTXO371,0,-1,12giTBKtUMH52G6VUX3RwAcAszDgu3brXF,5000000000
2261880440616905,UTXO545,0,-1,1M2mT95u45mmzUZNZXgLdCaY5yDKyWfQsn,5000000000
5067688267640902,4338074520099630,0,134,1M7kUuZDyHT5opZr789ybEES6Nyqxxyk6T,5000000000
coinbase3213,2401933369718402,4294967295,0,coinbase3213,5000000000
2984430461399288,UTXO3397,0,-1,1NxgZALRbx47v796WPGokYAkd5KH1hKhoU,5000000000
8713992411392670,UTXO3669,0,-1,17P5rcKoYinj35dnNKqq4VdQbv38jkSF6m,5000000000
247214081652679,4174879560847266,0,8,1CuAGYZ9Ae9u7fqZSDjyHc31T2RsK2QaUh,5000000000
3246688130594544,UTXO3839,0,-1,1JdrwyEAh8Szc47592jYfBD82bXH74KGwP,5000000000
7659071465450854,3416744821174823,0,175,19BedKLDpaLbKw2rDpuX2125T7aTaTyorN,5000000000
1894824691364369,UTXO4465,0,-1,1NeJs36BgrYWRVW2dJKrmZXtn9pZz56Lz,5000000000
40600191396250,UTXO5117,0,-1,1LrQf5KKZ9no5cEhHxE1mLtY8JZAXz1LeT,5000000000
1626268821011223,7836465389607266,0,22,182tuxLGo8s4ECFuxqfNaPkoM6nx2CAx1a,5000000000
7360965397415708,UTXO5539,0,-1,1FWJqMNw1JtXu1T19sHNrinCJhkPKGxAdk,5000000000
2299615070125862,4338074520099630,0,70,17Eh9Yiqkb1kE6Gvhh6Cw5TV5jdZfSckQp,5000000000
3711450379133488,UTXO6235,0,-1,1HnGTiZUhaQn2hxztvq1bhLUt4f2hHVRL4,5000000000
3305362051738779,1243539704719624,0,14,14rZ8NgrqZhw9r2Ne1KU9zjqBndVRJc7XG,5000000000
6481976813381573,UTXO6606,0,-1,19figtVucdCEV4p9Xdh3fKTEKXG6K9u1ed,5000000000
913070408186182,5436726519590638,0,13,1MeK8nXqBGyexBXNJ4FHz519TMTrV1qXb2,5000000000
2224091263448604,3660161164849270,0,21,1KATWftAQwNU4JVUMq1J1A2qyctGF8en9a,5000000000
4301389299321683,401667106907154,0,15,1Ku9jb4yEnM7S3cAy8H3FanJwMPdeWPJzR,5000000000
5895213392000109,UTXO7245,0,-1,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,5000000000
2291029336069019,UTXO7554,0,-1,1ijgi5ViqrJsxi2DjM3dQqwSgEMAe7bVQ,5000000000
7747656470457782,UTXO7604,0,-1,1AbSJG7F6iYQoy9APP9xoZNmHxWshbCTFG,5000000000
2287345906136601,UTXO7683,0,-1,1Mi5NzVmeAmfrumEJCqx4xASDabZ2nd9xQ,5000000000
6130234044528368,UTXO7829,0,-1,12D8W9T4Wxtouwg7ZrG56LSu6kbL2eVFXt,5000000000
7826218827025023,2740607063478157,0,16,1LTxfpwaAMvhTLBiPeV8sYLMjRtZcJorWd,5000000000
2154369408473945,UTXO8199,0,-1,1JAkNPdW3nJ3CPGQ5saLK8B77WvtiTm1sV,5000000000
2157526122781098,3660161164849270,0,14,1HUKTQkp3jrSJ7m7TBNC7VkhJVwHcsj4bt,5000000000
1925199588772180,UTXO8659,0,-1,17gZYEB4Bgu5iAF56CPbFWP2WwP31x7Jyw,5000000000
8325244469666275,6775069977804178,0,430,1CPU5aYefXerq3QvqK1XJHqGJnuAYvbNB3,5000000000
coinbase11650,4277946472102563,4294967295,0,coinbase11650,5000000000
2761521268577099,UTXO9546,0,-1,16vGJ6JDiVZU5FhtmVMa3DHEtRUaMiaxyi,5000000000
4975202709537847,4338074520099630,0,131,1KZR1xNke8KzSTg3srTHrzG9H3Ni6joVFQ,5000000000
5285187561644202,UTXO10031,0,-1,1NDcivgCa1hHVbersKAMYePwQXPTN4wFVG,5000000000
4604710417419476,UTXO10321,0,-1,1FWNfhihi8Q2QMFzvypVAL9fqapA9Wz79s,5000000000
4857723205448628,8027679296728644,0,571,1G1YuRWbH6bKtnGhyo1gibbTP5dFWdPJPf,5000000000
3944393798821338,5223129689564068,0,77,1JZZsN4tcLB4tochVHZjUrAsmac738m6C,5000000000
2890571108656637,4174879560847266,0,71,1Njzwfu28V6nRwc5CaPhKNdAAdtdYRaJUN,5000000000
2395213005371885,UTXO11257,0,-1,1FbZ9PoNRohjCBWxE9pq831fFXcEkUnLwe,5000000000
6554898108411757,UTXO11287,0,-1,1CPzehRXLkeQ52PoMkm8jx8tVYpQ3tWWZA,5000000000
6372693244961370,808785231744161,0,47,1JoMSZp422CDBDw7LFxQS6XtyF5cDeZ7kN,5000000000
6215855543470543,UTXO11914,0,-1,1M6qeSARj7ZyL8f95zjSvr6kDqvr4KKtpr,5000000000
8528022531278612,UTXO11926,0,-1,1KuQRaXtNuMNVfVqvHJ4XfXsGr4eJreNGh,5000000000
4830396793909713,UTXO12002,0,-1,13L9hLg9kV3wfNJKKTkENHTz79MWJ2mzuS,5000000000
1631809555030815,UTXO12314,0,-1,1Cy1im3KvjgQBot2jyR3aSpn79vzaotd8x,5000000000
coinbase15733,8865041547129950,4294967295,0,coinbase15733,5000000000
2494556758688295,UTXO12749,0,-1,1EA6PBfrL1nzx9B5KkeGYbkUfyHEsqPL3z,5000000000
8041467768016890,UTXO13317,0,-1,17sNbUfNysaaWKssPVQv3kqS2gpYVCFjFg,5000000000
coinbase16862,1347328472047939,4294967295,0,coinbase16862,5000000000
4709805073822445,UTXO14158,0,-1,1DznsRboJr4rUWe6X5dXAbWK5qCZQXpBsG,5000000000
2477221231118119,UTXO14353,0,-1,18GzG5khyjusHDFwbEiZ67N6NdcXunJpuV,5000000000
1004880029120990,UTXO14405,0,-1,14spi4DHkqA2xhomzv36GJykPwdMVEJ3BL,5000000000
2930860451431261,UTXO14542,0,-1,12YtwbLmMxRk22DS5VqHbXqcRjQRc9xrUo,5000000000
7871721567643960,UTXO14667,0,-1,13w9SRZYyKvmd4NuotB8rAiHZvpDF2ZGLt,5000000000
4294626570606491,UTXO14763,0,-1,14Y7K19UFNorcqF31B17Fk6qaaSKqbMnQB,5000000000
