src,dst,src_position,dst_position,address,value
7236873574535736,2753116422087273,1,0,13CM9oSfpyDnbQTHeraGW4LCF851Usp3ik,25000000
2753116422087273,2753116422087273,1,0,13YiRgpov7tAQt22gFgDf12cDS3s9MWbSU,20000000
6355790323311468,7908038605530317,1,0,17Q3PLzmgzdSJ6uoUKJXUXKfS7bHV1bHrM,1998000000
7908038605530317,7908038605530317,0,7,18kYt7ghMdMgVnJkvaeaDDXMyU5bcT26Ag,102000000
7908038605530317,7908038605530317,1,0,1NMkKvE7jSfoZUgrunvttxQdzcT8Dv7KEF,1896000000
4741942843824707,4753449707843795,1,0,13CM9oSfpyDnbQTHeraGW4LCF851Usp3ik,1000000
129337757637464,4753449707843795,1,1,13CM9oSfpyDnbQTHeraGW4LCF851Usp3ik,1000000
1506302321047417,4753449707843795,1,2,13CM9oSfpyDnbQTHeraGW4LCF851Usp3ik,1000000
7770850043853106,4753449707843795,0,3,13CM9oSfpyDnbQTHeraGW4LCF851Usp3ik,1000000
7928213169478731,4753449707843795,1,4,13CM9oSfpyDnbQTHeraGW4LCF851Usp3ik,1000000
3618402273622310,2922595791114253,0,0,1aTQE15u75Co79a4E7b3nusbCYkF7awkY,6000000
2922595791114253,2922595791114253,0,0,17bTMpQK45jpYCUcTJsVVhiGdssw46zarU,5000000
2922595791114253,2922595791114253,1,19,1Gg6MHmViSxohFnfGVhpBw4oD9ip66Zf1c,1000000
2753116422087273,1130197843546326,1,0,13YiRgpov7tAQt22gFgDf12cDS3s9MWbSU,20000000
1130197843546326,1130197843546326,0,0,16wnJHUrSeWz8XCYZ245amSahwmBto2CC9,15000000
3738725910899704,3738725910899704,0,12,1BJDcWRj7zgRgBn5JkhMqtLTG7xP7G7idz,5000000000
7908038605530317,6843106679105857,1,0,1NMkKvE7jSfoZUgrunvttxQdzcT8Dv7KEF,1896000000
6843106679105857,6843106679105857,0,23,19t4G85qZ52oyuD76wmUuuXGDzYDkyUWUR,51000000
6843106679105857,6843106679105857,1,0,1C2CFEjY8CS1YRHmcEJKX2xyaHHPcTNcbb,1845000000
1130197843546326,4135136096447524,0,0,16wnJHUrSeWz8XCYZ245amSahwmBto2CC9,15000000
4135136096447524,4135136096447524,1,0,1FMvuok8gWJfKzDDAQnMDbeT8hAVtNuj81,10000000
2922595791114253,3119881270282789,0,0,17bTMpQK45jpYCUcTJsVVhiGdssw46zarU,5000000
3119881270282789,3119881270282789,0,3,1MPsQHCmLzGwLXGh761T6PuRxvh4KuyDMB,1000000
3119881270282789,3119881270282789,1,1,1MgzXinCYQCza7m3gDyetA2PKLDXi6pk87,4000000
6843106679105857,1264350085541037,1,0,1C2CFEjY8CS1YRHmcEJKX2xyaHHPcTNcbb,1845000000
1264350085541037,1264350085541037,0,0,14xHDCxN5TK9WybdnxRH4jGDPAtoeTntzB,1795000000
1264350085541037,1264350085541037,1,2,18vgdAzrpY3WytDeYygm3HP69DqC5DTP1i,50000000
4135136096447524,1247773786945409,1,0,1FMvuok8gWJfKzDDAQnMDbeT8hAVtNuj81,10000000
1247773786945409,1247773786945409,0,0,15xxCpFD2uqdSJbNsT4N2nQcQeCgXmS5K3,5000000
1264350085541037,5090260905125654,0,0,14xHDCxN5TK9WybdnxRH4jGDPAtoeTntzB,1795000000
5090260905125654,5090260905125654,0,0,1HXyhe9V64hiYSLzacCGBzGZoUZGdJLGKm,45000000
5090260905125654,5090260905125654,1,0,17GTEgiaeJT2pngzdfYujcTMRdeXMKCydL,1750000000
1247773786945409,1191056883540526,0,0,15xxCpFD2uqdSJbNsT4N2nQcQeCgXmS5K3,5000000
5090260905125654,1403942466871160,1,0,17GTEgiaeJT2pngzdfYujcTMRdeXMKCydL,1750000000
1403942466871160,1403942466871160,0,0,13J6WH5nih7kJtaNnc5mndAuW3RmG56TYz,1730000000
1403942466871160,1403942466871160,1,0,1EWbMFFvdjABGdXhAir65gy6UrsAfTDWpg,20000000
1403942466871160,4327783323284086,0,0,13J6WH5nih7kJtaNnc5mndAuW3RmG56TYz,1730000000
4327783323284086,4327783323284086,0,5,16yH1S6eJpj8UyLFqMVM35pbf5vXrec2c8,19000000
4327783323284086,4327783323284086,1,0,1CVknAJhzCr9VsaWoi5iLJehAUJiZP5S4t,1711000000
4327783323284086,4953263267408526,1,0,1CVknAJhzCr9VsaWoi5iLJehAUJiZP5S4t,1711000000
4953263267408526,4953263267408526,0,0,1QHkJNcv4pC1DjX1A7sU1uJX2dpzc7QaRz,1693000000
4953263267408526,4953263267408526,1,167,19nYwUtDpiqUPopQJNgv5NR1SwZBpnttKC,18000000
4953263267408526,7445558969445478,0,0,1QHkJNcv4pC1DjX1A7sU1uJX2dpzc7QaRz,1693000000
7445558969445478,7445558969445478,0,31,1LVndDxUHXAeH6bQ3j7jdvqmZW31kVLT4z,14000000
7445558969445478,7445558969445478,1,0,12ZE9bZGJ5DCTHLdwJAUxEeUBiTNtMXs1P,1679000000
1536217893807030,1536217893807030,0,0,1Hete8TCnbgKU9pTziBbvybdcqoZJhWwjJ,5000000000
7445558969445478,5413318015204644,1,0,12ZE9bZGJ5DCTHLdwJAUxEeUBiTNtMXs1P,1679000000
5413318015204644,5413318015204644,0,0,1Nx5A7rt4H9ywwcwLdfUpJ8qMqNUQ491VA,1667000000
5413318015204644,5413318015204644,1,20,126bMAWKb9JPt4Rc1gTvtoF9bew1SA8Uzm,12000000
5413318015204644,3775992040098634,0,0,1Nx5A7rt4H9ywwcwLdfUpJ8qMqNUQ491VA,1667000000
3775992040098634,3775992040098634,0,0,16nKGLTU4iJAPd5ptoTAkxAT4PWTGv3uSc,1656000000
3775992040098634,3775992040098634,1,3,15nT6CRdwedDuqrt8RALWUuZBA4QhpMG8f,11000000
3775992040098634,7443183268294904,0,0,16nKGLTU4iJAPd5ptoTAkxAT4PWTGv3uSc,1656000000
7443183268294904,7443183268294904,0,19,15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w,11000000
7443183268294904,7443183268294904,1,0,1DyLrWgmBdtSXhzxxokMei3yVZRrAkTwtD,1645000000
7443183268294904,4059658368108689,1,0,1DyLrWgmBdtSXhzxxokMei3yVZRrAkTwtD,1645000000
4059658368108689,4059658368108689,0,17,1C4hTbXax6KJ831o2kikMt2gpHpNCeY1RD,11000000
4059658368108689,4059658368108689,1,0,18WmWoj3T36oCnrY11Z6bBsLpSUyQaYoZm,1634000000
4059658368108689,92949207757164,1,0,18WmWoj3T36oCnrY11Z6bBsLpSUyQaYoZm,1634000000
92949207757164,92949207757164,0,1,15MJ8ThM8y2jYtEBKEEXfLDcSnRbEvBJsn,1623000000
6370123916694652,6370123916694652,0,16,1ERg1c6TP1ksiF9fkRtJzTguzb6WoUT86t,5000000000
