id,name,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output
6843106679105857,9996f5ad442be27bdc8c05ba32c0837185a36626fd8bc1c9cd0a4a2576277ec2,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,1896000000,2,1896000000
4135136096447524,563ea83f9641d37a36f9294d172fdb4fb86c19b0e9cac45e0b27610331138775,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,15000000,2,15000000
3119881270282789,12f1af4a30af57c69d0d4c2db3435dad50f3a3b179d4a70a612c51dab61fac58,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,5000000,2,5000000
1264350085541037,b643b753deec27b1d15b674b75bbc9751de96ba5996271d3806f65c38d5bef23,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,1845000000,2,1845000000
1247773786945409,971af80218684017722429be08548d1f30a2f1f220abc064380cbca5cabf7623,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,10000000,2,10000000
5090260905125654,fe09b2906ad4c63ee8ea3c126f80260b2a87171d13b40047eeb53883c885ac90,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,1795000000,2,1795000000
1191056883540526,b1ec9c44009147f3cee26caba45abec2610c74df9751fad14074119b5314da21,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,5000000,1,5000000
1403942466871160,d9a574cca50973c09fb2df1c798e459711bf263e3d0815f7afc6fb2ea006e727,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,1750000000,2,1750000000
4327783323284086,d523483bcf84974e0c9881907996531cf41b7af520740565f5b193319dc4007b,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,1730000000,2,1730000000
4953263267408526,22e7721cdb38772016ddc246fcb37c88cb07b710823467f7f3705443ccbbc78c,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,1711000000,2,1711000000
7445558969445478,7d8eda75a7c7fa2a4ca550a654d8d25b22a7c3dbc4cd5343e13363394c929dd3,100003,000000000002a0a74129007b1481d498d0ff29725e9f403837d517683abac5e1,0,1,1693000000,2,1693000000
1536217893807030,ab7ed423933fe5413dc51b1041a58fd8af0cd70491b1ce607cb41dddce74a92b,100004,000000000000b0b8b4e8105d62300d63c8ec1a1df0af1c2cdbd943b156a8cd79,0,1,0,1,5000000000
5413318015204644,c763e59a79c9f1e626ddf1c3e9f20f234959c457ff82918f7b24e9d18a12db99,100004,000000000000b0b8b4e8105d62300d63c8ec1a1df0af1c2cdbd943b156a8cd79,0,1,1679000000,2,1679000000
3775992040098634,80ea3e647aeef92973f5414e0caa1721c7b42345b99ed161dd505acc41f5516b,100004,000000000000b0b8b4e8105d62300d63c8ec1a1df0af1c2cdbd943b156a8cd79,0,1,1667000000,2,1667000000
7443183268294904,1b72eefd70ce0a362ec0cb48e2213274df3c55f9dabd5806cdc087a335498cd3,100004,000000000000b0b8b4e8105d62300d63c8ec1a1df0af1c2cdbd943b156a8cd79,0,1,1656000000,2,1656000000
4059658368108689,23e13370f6d59e2d7c7a9ca604b872312de34a387bd7deca2c8f4486f7e66173,100004,000000000000b0b8b4e8105d62300d63c8ec1a1df0af1c2cdbd943b156a8cd79,0,1,1645000000,2,1645000000
92949207757164,149a098d6261b7f9359a572d797c4a41b62378836a14093912618b15644ba402,100004,000000000000b0b8b4e8105d62300d63c8ec1a1df0af1c2cdbd943b156a8cd79,0,1,1634000000,2,1634000000
6370123916694652,63194f18be0af63f2c6bc9dc0f777cbefed3d9415c4af83f3ee3a3d669c00cb5,100005,000000000000dab0130bbcc991d3d7ae6b81aa6f50a798888dfe62337458dc45,0,1,0,1,5000000000
111905863111945,unknown,-1,unknown,-1,-1,-1,-1,-1
6869576823660862,unknown,-1,unknown,-1,-1,-1,-1,-1
400283812289172,unknown,-1,unknown,-1,-1,-1,-1,-1
7655198127363341,unknown,-1,unknown,-1,-1,-1,-1,-1
5548004002976332,unknown,-1,unknown,-1,-1,-1,-1,-1
7497322323230222,unknown,-1,unknown,-1,-1,-1,-1,-1
7950247639827012,unknown,-1,unknown,-1,-1,-1,-1,-1
7952754834342482,unknown,-1,unknown,-1,-1,-1,-1,-1
7959853019436349,unknown,-1,unknown,-1,-1,-1,-1,-1
377520570602345,unknown,-1,unknown,-1,-1,-1,-1,-1
8670410307310529,unknown,-1,unknown,-1,-1,-1,-1,-1
