src_id,dst_id,src_position,dst_position,address,value
coinbase150005,6025294500288721,4294967295,0,coinbase150005,5000000000
6025294500288721,5071221345882879,0,0,1LWnKHkWV3u8CCXi2tqX7cJFZgWYH7sLgp,5000000000
2493892329948329,2184650930933010,0,0,1NAXxBdNCaBizunGYrq4KG7pJABFgZXU5a,18143844431
2184650930933010,4487695802875878,0,0,1GXBndZmkveG27bkmwvQkbEePDEHAn4fEJ,17926953175
2184650930933010,5585700059365437,1,3,17RSmMZ3Hq8uz53rMfezeCHGHS2zQTj294,216891256
2053181721828264,4811556581968564,0,0,1C5GVZeA7RpYeHfcmRfP6qwAuAcEZLpYfS,4300960000
4811556581968564,2844276357403776,0,0,13a9c9nrH9bNWPdmKrUD9xm4cHpdRKEWx4,4299960000
4811556581968564,182786564542046,1,14,1KAEyb8PqHw2M1rEJaHhp1HcAcTCrRwGU7,1000000
5232201687302949,5779082741948171,0,0,18kBYcmQW1UPQxr1SUrASXxxW4UGjmFjAx,8342950000
5779082741948171,7079536520443448,0,0,1L4WqMN1nwZi4iNUAcfDeNi3jBUm4KfzY2,8257950000
5779082741948171,8542271213474796,1,1,1BHh1K78k38V2ff1NjWXdofB4Lz8MkfZkg,85000000
6597809912853378,5928205051561449,0,0,1AR543BH4fxWyuFYFWtY82kiwAvu8WrWLX,4033350000
5928205051561449,6215623056589722,0,0,19ksHDybZNgSDbPkDWNEeDQ1PXAUjM49bi,3971350000
5928205051561449,3312295279224207,1,2,1FLG7JaAg7r482w5YLNZxndQUwoBqjfFGz,62000000
4423881323883634,2565071503318303,0,0,1L1SyJe6AjjKLqFo94rz333GWY7zAg4TpB,4997283400
2565071503318303,580954510212752,0,0,1HNfskyEzafXaFKj9MxWWkXinK43JpTY4d,4438283400
2565071503318303,8180954725781001,1,0,1EJBaV8UMVDM58QEsnjkN33RHTJkj9bcxx,559000000
1335343572425371,1601869630749697,0,0,14bkhCjjP9fmrthqCGJTSbw8sMrX4nEgf9,4909617921
1601869630749697,7353037679696674,0,0,1AQHgxtXCrBzPpN2JgQJfgRjgF6qLe5rq2,91617921
1601869630749697,1256293063340723,1,6,1CA6BLWAnk15he5bidGg7aHLC3f3uhmdfg,4818000000
7051513885334190,6804565855208808,0,0,1FcDuFwgyPvirxmPaBGZMgRhTyU8JqiKpD,4812350000
6804565855208808,13861155371871,0,0,1FNocgfz7Q1821oiQ82tP53Qs2AMdWqvaV,4800350000
6804565855208808,5839668488729285,1,0,1PRq1QSziJRzNwizCAQKEGrXUFoK3kJVnG,12000000
4998192987978142,7337246343975303,1,0,15i9YF3STQo52EEWftnpPwWo2JJtYXrgNg,26665703
7337246343975303,6707742212519200,0,40,15LWwgQVgBR4fLMyXeLjMgg6fAiGv6j4Zi,1000000
7337246343975303,4647093691470862,1,0,1Nbiti3Qx9ThKhGovdWTnnwwq72UUAEFp3,25665703
6916591551953206,8642058295390766,1,0,15JazASo8nomYGhWVm3NdUqiC8mbUigdmp,52807149
8642058295390766,5106162207699102,0,0,1FbzfupByAR1uysAPLTH6n3D7RB4oXGABm,40807149
8642058295390766,1814131864068806,1,2,126w4GkyootNwG5T6ouwxKjiHQNaAXuZkv,12000000
8522237778870131,1218300928814487,0,0,1LNWw6yCxkUmkhArb2Nf2MPw6vG7u5WG7q,4999500000
1218300928814487,700071022886782,0,1,1Fzn3D6Rq8vTZ8EiUXihFPvByJcxjMaCWu,4799500000
1218300928814487,8877348931194864,1,0,1FFMLxa9ozfsvKNhnGkM7JKsQGE9Ne3YH9,200000000
2714640761981669,8970122666926254,0,0,1Jrx3HcMkNmZeDgEkzVR9S5ZcEhBMuc4eC,4432655481
8970122666926254,4328103572162908,0,1,1MB1MZmKHXMPFsUYNycX4C2ErX26qL6to9,1578655481
8970122666926254,7565352748934119,1,1,1CA6BLWAnk15he5bidGg7aHLC3f3uhmdfg,2854000000
2169510885169695,4328103572162908,0,0,18Vmy6CaTgqxk9euYLD2JJUXApiHzgdJeZ,4700100000
8970122666926254,4328103572162908,0,1,1MB1MZmKHXMPFsUYNycX4C2ErX26qL6to9,1578655481
4328103572162908,4433149756587694,0,0,1GsMUpzobQYGztEdF6qinoCXZe7XBVEvUX,615755481
4328103572162908,1256293063340723,1,8,1CA6BLWAnk15he5bidGg7aHLC3f3uhmdfg,5663000000
6712604692660172,2028788297035292,1,0,1HNtrHpPH8NsVYdqF1XT7vZwqo2MCpE9vG,50000000
2028788297035292,8553597241327482,0,11,16vBUaKejaPwX11ea1hC11Yj3QGZFG12Ex,1000000
2028788297035292,53622900540161,1,0,1Ai3H4Guc4r53Eriaoq2QwCeB9F2sbFFaL,49000000
4164554823326565,4914352494998682,0,0,1MLeRr2igmwPyVUqmmTq9Rafkqak6R3Ggm,860450000
4914352494998682,4491287710019757,0,0,1BGbyMapfWDNYhWaGhCjnGHExnY92sryQb,655450000
4914352494998682,5936019436212744,1,0,145TWoJtk8845JGxB4nvFogShSQ4coQNjJ,205000000
6089924220651190,6951416307316097,0,0,1KiKAbnR8FUX8uvq6DrePdmUDMagSHKpJR,353692532
6951416307316097,3983279940865355,0,0,188aeQ4Cd8nEMLpZF8vxmisLpGRqiMkbnE,332692532
6951416307316097,8642515413693419,1,85,1J7MKyQfaDiwsZE4X5u1hrKPqW2PpPGtxa,21000000
4811556581968564,2844276357403776,0,0,13a9c9nrH9bNWPdmKrUD9xm4cHpdRKEWx4,4299960000
2844276357403776,99439819463406,0,0,1NUW6JabJdReXW9G6aUfGLwrGf7eRBsdae,2283960000
2844276357403776,233617618495886,1,3,1LVepzJ1FfiU8nzHeL4VhsMcTJJSWER8f,2016000000
5928205051561449,6215623056589722,0,0,19ksHDybZNgSDbPkDWNEeDQ1PXAUjM49bi,3971350000
6215623056589722,4841695996551726,0,0,1DtjkpmrBeMfNRxHMSdFcBf3k7dZARe4kf,2968350000
6215623056589722,5029949352294292,1,9,1DbyjJ6kDQSLZ7naTmZ5wK3dC4HA6Q72zk,1003000000
1601869630749697,7353037679696674,0,0,1AQHgxtXCrBzPpN2JgQJfgRjgF6qLe5rq2,91617921
7353037679696674,5422852648083527,0,1,17QGFtvaMchN3pgxcy5ZxnoCkZdJLKHZFH,20617921
7353037679696674,1018477233882293,1,6,112xbpvg928JF4qGXCcUYEViTQSztbaGng,71000000
4328103572162908,4433149756587694,0,0,1GsMUpzobQYGztEdF6qinoCXZe7XBVEvUX,615755481
4433149756587694,7531535614882960,0,0,1GtsjFRGCo3oYVQ55EtT7avcgMrn739AzV,115755481
4433149756587694,4332227436827039,1,0,1PGTog5pVbwMaW7K889T9ygBc9MkoYteb2,500000000
4914352494998682,4491287710019757,0,0,1BGbyMapfWDNYhWaGhCjnGHExnY92sryQb,655450000
4491287710019757,2339851664141044,0,0,1M2XngW6GqaCPfV1iwkPnM9hPvAKQkkr7o,501450000
4491287710019757,8980891996361117,1,0,14kh6h7LAFAJPJ6huDsRCnuC4w8CknmnZT,154000000
6951416307316097,3983279940865355,0,0,188aeQ4Cd8nEMLpZF8vxmisLpGRqiMkbnE,332692532
3983279940865355,7615282564620214,0,0,1BAHzzjj7aWSAxUw3EZbtstjVEYLxvu8HK,307692532
