id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
2162845022861535,tx,b1d585c4676c95debae6556a2225041364340ac283fbe74a78f9c655cac4783d,100012,000000000001a7246d9e15004de43bdc365aceef6bc349da97968829e2da2b66,0,1,415000000,2,415000000,79
6045480298074860,tx,ae1933ba2b7dc9702c96b99fb00f1df1392d9dea998a24b88d61974e8da8d2ab,100025,000000000003b11fc46a8c8b8933e30c837044ae1122ce9f335a256dde275b49,0,1,1000000,1,1000000,144
coinbase100053,coinbase,"",-1,"",0,0,0,1,5000000000,-1
1104640634992634,tx,c1e1283b968c9d16a430ee2219ee8f75e113cd2cb8507db69ad4bf398551651f,100059,000000000000f75cef2988b0bec1e9c0cb4ec9adf225c7df0f9f05c646072e11,0,1,5000000000,1,5000000000,247
5797835684485540,tx,e6357ce991fb4c7dfc82bd184aa6d36d9d14f55438fc0a283822cd8483cec8a4,100080,00000000000291fe264b6605dc7d6952c67e5e42b417fe4ff1285f5b1648e07a,0,2,10000000000,1,10000000000,307
6625297922781281,tx,a0494809563e186155129933936f6d09229e4d58e34c3025580e83bf09634dbc,100103,0000000000002fa6d621f1b12a59bb7619025aa3ee906c8381c31e05c378aea1,0,1,5000000000,1,5000000000,394
2318022980685799,tx,197ee56ca8f3bb3e145aea10fedf33f6eb1fa734743096dcdf3d7fc242d6e141,100164,0000000000027b7445a25b4d4c35b0424074c50de7f9f94547fa48baf8a65e87,0,1,5000000000,1,5000000000,594
3515585038969409,tx,b745b11aa1dd110f002655201981190a7b24499286baa304b70a52676b3feb63,100226,000000000002c90930cda702186ed0a5dbaf6bc638a169b241e56d102f981d69,0,1,5000000000,1,5000000000,837
6657869238864507,tx,d20c46d88c71092b7b8400d769ec07eb6024c0188c43156387dd538cd75f3abd,100257,000000000001f064cfdb4acd27e08323fd11fdfc012386e5c2482e337937336a,0,1,5000000000,1,5000000000,927
1911714874771842,tx,9898ab0f899584eb371af1c6b2e98d61c2cad4f57476b5730b124c2e708e5536,100309,000000000001f09645c7594ca6cfd2b32e95a8e0ba07f958816d5527dc5b311f,0,1,504000000,2,504000000,1128
3237350133889807,tx,90837c37201534273c0c6d75df2cdbef8468ac441b53ec0ef67ad8f385d2025c,100340,00000000000390cc82fb6830c8fa792f2b574e3034887a71e2a6192831754ec6,0,1,34065000000,2,34065000000,1223
3047173937298892,tx,04274e23497b53b70d965485ed9787d430809203940849571467eecfc01b9b56,100346,0000000000015d6a2c4dc1a4a15bfba3e05fe9e39d9a08deb6d10080fcb7a5ad,0,1,5000000000,1,5000000000,1239
3392339213496842,tx,d6e571107b1d9755dd02ee81faf93c7ca6eca19fe4d2a4aa175690392e846a60,100415,0000000000042dee3763a3c5fe24177ea62552a889bdf55ab6802fbaf8919f2f,0,1,12756000000,2,12756000000,1453
8415908302262963,tx,f8168240ba090a2c4c6ea1e3f122952941f3b1714e7ee73de79b958cc6ca31ef,100422,000000000003a769cf6bff3dd0c80d67fbc96ba6817ea61d1fea251f677a4688,0,3,12655000000,2,12655000000,1479
3821436336570283,tx,59ba953c1b1e3d285018bfeae372b7f6e5c84e3a1224f7b25c5efdfbda9b9c6c,100426,0000000000040bd4e339c341261ba76d7210ccc7c670cd9d69ac110a64e40448,0,2,4753000000,2,4753000000,1503
7352141473638991,tx,732a4ab00783e9f4fd41936ffa6fe7b06c051e2ec842fba2b37e52ffa6def5d0,100562,0000000000023ae47046b63c15b049feafd29a87ab63cb3d2282be37c8810764,0,1,5000000000,1,5000000000,2005
5997355079920242,tx,bae2a3caeead4610f3378948a06b8bf7a49baff126a05bfea792530b598074aa,100641,0000000000031d9fb6649b1559118c27dc1cc4b9e858a4e20f144de3ec32be37,0,3,20000000000,1,20000000000,2255
UTXO207,UTXO,"",-1,"",0,1,5000000,0,0,-1
coinbase100698,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase100730,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase100804,coinbase,"",-1,"",0,0,0,1,5000000000,-1
7918622760434566,tx,31b96cb47f2fb4bb8623214550819e8c1d33590bdc6f6618b332dcf745900fe1,100811,0000000000022ca6db1e02bec1f574b72987ea68980ab8e6ffec30214388e28a,0,1,5000000000,1,5000000000,2816
534918931464290,tx,fc390711368c0b25ddc45a26b129a749596bb9ab0786661b8f160326270c340f,100833,0000000000026d4b8593b3c9ff26c7f9007c0d276c526b038998bdb06899c8eb,0,1,33685000000,2,33685000000,3023
3293937075945796,tx,a6cf3be9139c8b54b3cae5490d5fd477346fa3d94fd1d89128230a98ea8b9e5d,100909,00000000000101e84bded300fcf9ec38f2a8e737183ca72aba07c2fab37a0920,0,1,33505000000,2,33505000000,3580
UTXO286,UTXO,"",-1,"",0,1,5000000,0,0,-1
1608686386288710,tx,49f56ed944b1d8362a028bb74459f143a2c69e91d1922172e135c2e0e4bbb82d,100917,0000000000003f05e8e589214f8272b27ea4f63a423e246602da781d84e9c452,0,1,33495000000,2,33495000000,3697
6568433522928816,tx,74f7ec9b590287132ee5823b5188ccace459493ad4f3d2fc878765ebd6a4afba,100928,000000000000d2bb22b7f355c9be6909590912b272396e8f9c8b9e2bbb6da715,0,1,1850000000,2,1850000000,3855
6579392318084603,tx,99551d04dea8d504ddb5f67df10165ca023540eb833d0b1750ddafa82f61ffba,100935,000000000003d12f271f454406ba523f827748797cc2c77ec133db5479dda622,0,2,10000000000,1,10000000000,3945
3356290772892128,tx,f675c98617513414ad954fe461e691e812e84b6ef2dddfb50707cf3fba3a645f,100956,0000000000015cbf210387e713b9583c381f1439ba010a63a04a1b2024beff48,0,1,53000000,2,53000000,4160
