id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
3205276859231645,tx,bfb82d61dbf0d78a46291c6fa1d79a257cbe2a7c52f2fb9ecce86ccf6475195b,100024,0000000000005b475fdd6760e15857223384196ca947e8025f53af568ce67b10,0,1,5000000000,1,5000000000,129
coinbase100082,coinbase,"",-1,"",0,0,0,1,5000000000,-1
5680968948096909,tx,ff7615c9c3a7293e060cbcfafdc246ae96342bef67d466882269fc0c417d76a1,100083,000000000001b78c37fc230e5cee232767b09ffb3f88299d79db79bb869beb4b,0,1,1000000,1,1000000,341
6160932053569522,tx,fc26f0b3139fd52e1d8031de606e1a1c1b577438c9f84a86d3917f4e34ae1aaf,100142,000000000001fb05da2ee0393887569ddf6608cc4245e70ada047dde5f0f346f,0,1,5000000000,1,5000000000,521
2903247629497506,tx,90df4ae542e66a03cc95b7316b7ed5e6b2619940580721f11c14a5351de88352,100174,000000000000b683a5166e21fb4c1d1283bd086e11340635e1f17845a27d34c1,0,1,13356000000,2,13356000000,639
4561592436317972,tx,6db983d2f37de53984a7dc3c3291adde543776f8cbcb3a22a4a0f83606f4a581,100186,000000000003c333625157e4898b096855d5750073ff2b520db8d2d22fbd4098,0,1,85000000000,1,85000000000,680
coinbase100337,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase100339,coinbase,"",-1,"",0,0,0,1,5000000000,-1
4530183833461813,tx,6dabc00dd7ef1a22a29402c1389a203b0c07346c2a238907d4ad2149f16cc180,100477,0000000000006ee6bfb50f9e66d7633ab997d25dab7c7a7a0de2468c2412c98e,0,1,565000000,2,565000000,1648
7153354683417680,tx,15105668e560598b414c3ef2badac3cb3b74c0818a864ab5288222dc66814fcb,100482,00000000000228fdc8c8cca2a993dc61e8e8e2ff134a400fd4631ecddd061149,0,1,5000000000,1,5000000000,1670
5147018330400250,tx,f512ab889d3fe3f84b1b8008594550f30b6bb0e184e2f3718cd42fe3b97c4992,100491,0000000000025ef243fc8b47538615706450aa0e93f7d1b328bd570a764926c3,0,1,5000000000,1,5000000000,1685
4881142831326864,tx,5796fb734fc59849baf5edd28d3bf86142658b1deae1b2dc8385347904fdba8a,100491,0000000000025ef243fc8b47538615706450aa0e93f7d1b328bd570a764926c3,0,1,5000000,2,5000000,1688
8953512638283504,tx,be7d299f860356a40fb2c2295ce44d18aa0e7fa26c5c68854187f75fe26079fe,100521,000000000002681a97819d7e97b588ef2d0e1acaed3df5dc9e23a20d588564c9,0,1,12611000000,2,12611000000,1798
4974217781031143,tx,c6a61283be2936f3a96959910d5ba8722fcb0ba5d80acf7a363d87fd9e32608d,100560,000000000003b93078d667030f840ec886bfd77eeeb8beba0ca3d6871d99ccf0,0,1,58000000,2,58000000,1995
6153338114934633,tx,f91d76a804f9123df474d6e86be265bced9c1f2c58688a5c9e493b30646de3ae,100598,0000000000045d1f6e0b4b648ae7a7634b2b23e2edc3515b1d3b023313677edd,0,1,12406000000,2,12406000000,2119
coinbase100645,coinbase,"",-1,"",0,0,0,1,5000000000,-1
5560955449432946,tx,e470da64d0af6b971221c0eb37267f4bf5dfc4acceb8e53bfe97db66b1460d9e,100664,000000000004803c97ed84b0d2752658aa2e7105a04247dc42e323df5d03b52c,0,3,52000000,1,52000000,2325
5850723942887123,tx,97a667b218b7cbb6947edf646fafe75f29ef8dab7c62faf89398765b929e49a6,100754,0000000000019bf95d0ab9e82cff173c2225c516ee05aeb0f61f71fae94ef6e8,0,1,5000000000,1,5000000000,2605
coinbase100762,coinbase,"",-1,"",0,0,0,1,5000000000,-1
