id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
1758891331707884,tx,013cb8274507ba02b67a4a076db0c56dea9d4b668cd1059d84661f33689efd31,102278,00000000000189ba5c439c9f65b397e53919d224640f95a5f1856df114e404a8,0,1,7366000000,2,7366000000,13731
coinbase102297,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase102301,coinbase,"",-1,"",0,0,0,1,5000000000,-1
7350861160708946,tx,7e741736f60b6314b74b75978d715c19c58e83f4b8e4aad9a297da37e28decd0,102345,000000000003abfc97623350f27d10641db167875d3e2ab202bf3c528a088dd0,0,2,100000000,1,100000000,14150
coinbase102353,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase102373,coinbase,"",-1,"",0,0,0,1,5000000000,-1
5690961786111055,tx,0e5ea3db081e650ba6c5b91a66b8802134afdeccb7775359a97922885d32bfa1,102418,0000000000038366133408dff701364b675f079a1be6eb2c1eec039f87dc6f82,0,1,1930000000,2,1930000000,14707
3501107475423797,tx,ee96563e3ba7c3e0e0c985e7be3eec50aed1a3b0a0f1e408a9aa1125dbe88163,102440,000000000003cd520e67e16c7432320f180754af3022091ecbf30d18fe01dee5,0,1,1000000,1,1000000,14854
5841707705926543,tx,08f9cf9788156259f8ca2f011c9e63462bd84515e10bbfbb557f1c8c850408a6,102440,000000000003cd520e67e16c7432320f180754af3022091ecbf30d18fe01dee5,0,1,1000000,1,1000000,14855
coinbase102447,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase102487,coinbase,"",-1,"",0,0,0,1,5000000000,-1
3166403916358323,tx,69599f5cdb3d4fd2d23847041154398b867a8cb07fe6ac5ee89b1533e59efe59,102513,0000000000019500670246ad48b2b449be4cce453255b615e24a3b076ab59666,0,1,5000000000,1,5000000000,15323
